path	type	size	permissions	modification_time	user	group	device_id	hard_links	special_device_id	inode	block_size	blocks	flags	generation	access_time	change_time	birth_time
C:/Users/tthra/OneDrive/Documents/GitHub/eda4ml/code/pc_aesthetics.R	file	  5.2K	rw-	2025-12-29T23:37:12Z	NA	NA	3034357469	1	0	41095346600118816	4096	16	0	0	2026-01-02T19:22:39Z	2026-01-02T19:22:39Z	2025-12-29T23:37:12Z
C:/Users/tthra/OneDrive/Documents/GitHub/eda4ml/code/pgram_grid.R	file	 22.64K	rw-	2025-12-29T23:37:12Z	NA	NA	3034357469	1	0	7881299348261575	4096	48	0	0	2026-01-02T19:22:39Z	2026-01-02T19:22:39Z	2025-12-29T23:37:12Z
C:/Users/tthra/OneDrive/Documents/GitHub/eda4ml/code/rmse_per_grp.R	file	  2.7K	rw-	2025-12-29T23:37:12Z	NA	NA	3034357469	1	0	9288674231814932	4096	8	0	0	2026-01-02T19:22:39Z	2026-01-02T19:22:39Z	2025-12-29T23:37:12Z
C:/Users/tthra/OneDrive/Documents/GitHub/eda4ml/code/rng_tbl.R	file	921	rw-	2025-12-29T23:37:12Z	NA	NA	3034357469	1	0	14073748835896100	4096	8	0	0	2026-01-02T19:22:39Z	2026-01-02T19:22:39Z	2025-12-29T23:37:12Z
C:/Users/tthra/OneDrive/Documents/GitHub/eda4ml/code/spectrum_helpers.R	file	  1.88K	rw-	2025-12-29T23:37:12Z	NA	NA	3034357469	1	0	16888498603002768	4096	8	0	0	2026-01-02T19:22:39Z	2026-01-02T19:22:39Z	2025-12-29T23:37:12Z
C:/Users/tthra/OneDrive/Documents/GitHub/eda4ml/code/text_helpers.R	file	  4.58K	rw-	2025-12-29T23:37:12Z	NA	NA	3034357469	1	0	9288674231815060	4096	16	0	0	2026-01-02T19:22:39Z	2026-01-02T19:22:39Z	2025-12-29T23:37:12Z
C:/Users/tthra/OneDrive/Documents/GitHub/eda4ml/code/tibble_transpose.R	file	  1.64K	rw-	2025-12-29T23:37:12Z	NA	NA	3034357469	1	0	16325548649581466	4096	8	0	0	2026-01-02T19:22:39Z	2026-01-02T19:22:39Z	2025-12-29T23:37:12Z
C:/Users/tthra/OneDrive/Documents/GitHub/eda4ml/code/update_book_chapter_los.R	file	  9.61K	rw-	2025-12-30T14:22:51Z	NA	NA	3034357469	1	0	59954170039719650	4096	24	0	0	2026-01-02T19:22:39Z	2026-01-02T19:22:39Z	2025-12-29T18:54:05Z
C:/Users/tthra/OneDrive/Documents/GitHub/eda4ml/code/vc_per_state.R	file	  5.36K	rw-	2025-12-29T23:37:12Z	NA	NA	3034357469	1	0	9851624185236386	4096	16	0	0	2026-01-02T19:22:39Z	2026-01-02T19:22:39Z	2025-12-29T23:37:12Z
C:/Users/tthra/OneDrive/Documents/GitHub/eda4ml/code/wine_quality_uci.R	file	  4.33K	rw-	2025-12-29T23:37:12Z	NA	NA	3034357469	1	0	5066549581155238	4096	16	0	0	2026-01-02T19:22:39Z	2026-01-02T19:22:39Z	2025-12-29T23:37:12Z
C:/Users/tthra/OneDrive/Documents/GitHub/eda4ml/code/xtabs_to_jaccard.R	file	  1.88K	rw-	2025-12-29T23:37:12Z	NA	NA	3034357469	1	0	4785074604444598	4096	8	0	0	2026-01-02T19:22:39Z	2026-01-02T19:22:39Z	2025-12-29T23:37:12Z
C:/Users/tthra/OneDrive/Documents/GitHub/eda4ml/code/z_score.R	file	  3.91K	rw-	2025-12-29T23:37:12Z	NA	NA	3034357469	1	0	4785074604444605	4096	8	0	0	2026-01-02T19:22:39Z	2026-01-02T19:22:39Z	2025-12-29T23:37:12Z
